Teencode	Chuan	Context_Keywords	Flag
ctrai	con trai	1	safe
khôg	không	1	safe
bme	bố mẹ	1	safe
cta	chúng ta	1	safe
mih	mình	1	safe
mqh	mối quan hệ	1	safe
cgai	con gái	1	safe
nhữg	những	1	safe
mng	mọi người	1	safe
r	rồi	1	safe
cg	cũng	1	safe
qtam	quan tâm	1	safe
thươg	thương	1	safe
qtâm	quan tâm	1	safe
chug	chung	1	safe
thoy	thôi	1	safe
đki	đăng ký	1	safe
ạk	ạ	1	safe
cv	công việc	1	safe
thjk	thích	1	safe
ktra	kiểm tra	1	safe
nek	nè	1	safe
nthe	như thế	1	safe
kái	cái	1	safe
tíh	tính	1	safe
thík	thích	1	safe
thẳg	thẳng	1	safe
júp	giúp	1	safe
ko	không	1	safe
bik	biết	1	safe
vs	với	1	safe
cx	cũng	1	safe
mik	mình	1	safe
đc	được	1	safe
ngta	người ta	1	safe
ah	à	1	safe
ms	mới	1	safe
cũg	cũng	1	safe
đag	đang	1	safe
hnay	hôm nay	1	safe
ak	à	1	safe
j	gì	1	safe
qc	quảng cáo	1	safe
zui	vui	1	safe
z	vậy	1	safe
thich	thích	1	safe
đt	điện thoại	1	safe
trc	trước	1	safe
qá	quá	1	safe
ntn	như thế nào	1	safe
wá	quá	1	safe
zậy	vậy	1	safe
hjhj	hi hi	1	safe
ns	nói	1	safe
iu	yêu	1	safe
k	không	1	safe
kh	không	1	safe
lm	làm	1	safe
sr	xin lỗi	1	safe
e	em	1	safe
ji	gì	1	safe
cty	công ty	1	safe
uk	ừ	1	safe
bth	bình thường	1	safe
bt	biết	1	safe
khg	không	1	safe
nhưg	nhưng	1	safe
onl	online	1	safe
tamj	tạm	1	safe
onr	ổn	1	safe
tốgt	tốt	1	safe
háng	hàng	1	safe
giáo	giao	1	safe
depj	đẹp	1	safe
xấug	xấu	1	safe
nhanhs	nhanh	1	safe
cmnd	chứng minh nhân dân	1	safe
sđt	số điện thoại	1	safe
mn	mọi người	1	safe
mk	mình	1	safe
thik	thích	1	safe
hok	không	1	safe
kb	kết bạn	1	safe
wa	quá	1	safe
hjx	hix	1	safe
ik	ý	1	safe
ny	người yêu	1	safe
okey	ok	1	safe
ôkê	ok	1	safe
oki	ok	1	safe
oke	ok	1	safe
okay	ok	1	safe
okê	ok	1	safe
